ULAND;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstig;LICHT;STRZUSTAND;XGCSWGS84;YGCSWGS84
2;2017;3;12;7;3;2;6;0;1;0;0;0;0;0;9.421332365;52.01728376
2;2017;2;5;6;3;5;3;1;1;0;0;0;2;1;9.733898481;52.41361821
2;2017;2;14;6;3;2;6;0;1;0;0;0;0;0;9.714239939;51.660907
2;2017;2;8;6;3;8;7;1;0;0;0;0;0;1;10.09487061;51.68724185
2;2017;3;12;7;3;5;3;1;1;0;0;0;0;0;10.56411702;52.11760599
2;2017;3;8;7;3;3;7;0;1;0;0;1;0;0;11.05291758;52.22118722
2;2017;2;9;6;3;4;6;0;1;0;0;1;0;1;9.098513937;52.20637655
2;2017;2;11;6;3;0;1;0;1;0;0;0;0;1;9.294551694;52.28803809
2;2017;2;18;6;3;5;3;0;1;0;0;0;2;1;10.01724529;52.16153554
2;2017;2;22;6;3;9;1;0;1;0;0;0;2;2;9.764495055;51.5798425
2;2017;2;13;6;3;5;3;0;1;0;0;0;0;0;9.939874714;51.5245893
2;2017;3;15;6;3;2;6;0;1;0;0;0;0;0;8.156850921;52.32537327
2;2017;2;9;6;3;2;6;0;1;0;0;0;0;1;9.939338113;51.55632567
2;2017;3;15;6;3;9;7;0;1;0;0;0;0;0;8.043683108;52.20521757
2;2017;3;6;6;3;8;1;0;1;0;0;0;2;1;8.036997444;52.14963615
2;2017;3;19;6;3;0;7;1;0;0;0;0;2;1;7.671898133;52.51392723
2;2017;3;16;6;3;3;2;1;1;0;0;0;0;0;7.575756328;53.13573924
2;2017;3;7;6;2;5;3;1;1;0;0;0;0;2;7.487383201;53.30382734
2;2017;3;7;6;2;9;1;0;1;0;0;0;0;1;7.667752277;52.896224
2;2017;3;5;6;3;9;1;0;1;0;0;0;1;2;7.650413169;53.00698873
2;2017;3;15;6;3;2;2;0;1;0;0;0;0;1;7.079420118;52.30092537
2;2017;3;11;6;3;5;3;1;1;0;0;0;0;0;7.061545987;52.44275742
2;2017;3;7;6;3;5;3;1;1;0;0;0;0;1;7.284426023;52.85694969
2;2017;2;8;6;3;5;3;0;1;0;0;0;0;1;9.940777656;51.52063661
2;2017;2;19;6;2;1;5;0;1;0;0;1;2;1;10.19638863;52.33328421
2;2017;2;7;6;3;2;6;0;1;0;0;0;0;1;10.15913571;51.85735669
2;2017;2;11;6;3;8;1;0;1;0;0;0;0;1;10.53747736;51.91114569
