OBJECTID_1;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
1009;1;0;58;12;2018;3;10;7;3;4;6;0;0;1;0;0;0;0;2;555714.5804;6040312.2075;9.860468463;54.507345611
1010;1;0;2;0;2018;2;6;5;2;6;2;1;0;1;1;0;0;0;2;572414.8898;6020232.8202;10.113443161;54.324810422
1011;1;0;62;1;2018;3;17;2;3;5;7;0;0;1;0;1;0;0;0;582804.3416;5948694.1485;10.253679965;53.680403735
1012;1;0;1;0;2018;2;12;5;3;2;6;0;0;1;0;0;0;0;0;529026.7879;6068353.9621;9.451097314;54.761578457
1013;1;0;57;74;2018;2;20;4;3;1;5;2;0;1;0;0;0;0;0;579161.0222;6021693.0042;10.217533667;54.336929118
1014;1;0;58;78;2018;2;9;2;3;8;7;0;0;1;0;0;0;0;0;532792.2066;6017129.6189;9.503910291;54.301005415
1015;1;0;56;24;2018;3;9;4;3;0;1;0;1;0;0;0;0;0;1;544325.9997;5943574.3364;9.670439888;53.639068712
1016;1;0;56;15;2018;2;10;2;3;5;2;0;0;1;0;0;0;0;1;543019.5544;5955796.763;9.652377296;53.74903042
1017;1;0;59;186;2018;2;16;5;3;1;5;0;0;1;0;0;0;1;0;548636.3892;6067268.0549;9.755639433;54.750304556
1018;1;0;60;5;2018;3;11;6;2;2;6;0;0;1;0;0;1;1;0;584738.1174;5977422.381;10.290857577;53.938243802
1019;1;0;56;34;2018;3;10;3;3;2;6;0;0;1;0;0;0;0;0;557802.7284;5961524.5022;9.877607207;53.799077142
1020;1;0;56;27;2018;3;12;6;3;8;6;0;1;0;0;0;0;0;0;542501.5164;5940277.2626;9.642395985;53.609586232
1021;1;0;53;89;2018;2;13;3;2;2;6;0;0;0;0;0;1;0;2;598217.4421;5936334.8511;10.483059904;53.566680311
1022;1;0;55;46;2018;3;15;1;2;0;1;0;0;0;0;1;0;0;0;643857.382;6041024.656;11.221325819;54.496403171
1023;1;0;59;183;2018;2;12;5;3;2;6;0;0;1;0;0;0;0;0;519920.8167;6070128.3926;9.309708505;54.777968296
1024;1;0;62;4;2018;3;7;4;3;5;3;0;1;0;0;0;0;1;0;588430.358;5962014.0242;10.342644623;53.799172383
1025;1;0;61;13;2018;3;4;2;3;8;1;2;0;1;0;0;0;0;2;528336.7467;5987462.1393;9.432655629;54.034638278
1026;1;0;55;33;2018;3;8;1;3;2;2;0;0;1;0;0;0;0;0;624218.5807;6017699.8427;10.908530105;54.292082124
1027;1;0;4;0;2018;3;10;4;1;4;6;0;0;1;0;0;1;0;1;563489.395;5988589.011;9.969553199;54.041636507
1028;1;0;4;0;2018;3;8;7;1;4;6;0;0;1;0;0;1;0;0;563916.483;5988612.5741;9.976079225;54.041795506
1029;1;0;53;89;2018;2;13;3;3;2;6;0;0;1;0;0;1;0;2;596930.5965;5935988.3618;10.463528351;53.563806163
1030;1;0;56;48;2018;3;0;2;2;8;1;2;0;1;0;0;0;0;1;550183.5893;5952021.6749;9.760395189;53.714461235
1031;1;0;60;16;2018;2;9;5;3;8;1;0;0;1;0;0;0;0;1;581940.7639;5985241.9008;10.250357603;54.008958909
1032;1;0;61;17;2018;3;14;4;3;9;3;0;1;1;0;0;0;0;0;533987.6303;5971780.4936;9.51718412;53.893356496
1033;1;0;57;59;2018;3;7;2;3;8;1;0;0;1;0;0;0;0;2;578332.955;6007520.81;10.201091585;54.209712329
1034;1;0;51;49;2018;3;3;1;3;9;1;2;0;1;0;0;0;0;2;511002.2682;6013638.3113;9.168944087;54.27056148
1035;1;0;51;44;2018;3;17;3;3;5;2;0;1;1;0;0;0;0;0;505905.6995;6005449.4445;9.090523258;54.19704784
1036;1;0;61;73;2018;3;7;5;3;5;3;1;0;1;0;1;0;0;1;535102.769;5967866.4596;9.533704085;53.858103986
1037;1;0;60;71;2018;2;7;4;3;5;3;1;0;1;0;0;1;0;0;593570.9322;5977998.5279;10.425544954;53.941899544
1038;1;0;57;68;2018;3;12;3;1;4;6;0;0;1;0;0;1;0;0;576669.2448;5992078.9126;10.171663873;54.071205781
1039;1;0;60;63;2018;3;14;5;3;2;6;0;0;1;0;0;0;0;0;567766.1266;5953088.7534;10.027003136;53.72206428
1040;1;0;59;26;2018;3;13;7;3;2;6;0;0;1;0;0;0;0;2;540267.4984;6038608.8145;9.621686452;54.493500003
1041;1;0;56;44;2018;2;10;4;3;5;3;0;1;1;0;0;0;0;0;556340.5521;5939200.4426;9.851351384;53.598602866
1042;1;0;58;86;2018;3;1;2;3;7;7;2;0;1;0;0;0;0;1;548256.2529;6007332.5616;9.7399463;54.211734744
1043;1;0;56;39;2018;2;8;4;3;2;6;0;0;1;0;0;0;0;2;552346.6698;5946358.3904;9.792211334;53.663349854
1044;1;0;51;107;2018;2;10;3;3;9;6;0;0;1;0;0;0;0;1;504465.1743;6011240.2829;9.06852887;54.249108005
1045;1;0;58;82;2018;2;5;2;3;5;3;2;0;1;0;0;0;0;2;557910.4038;6044797.0598;9.895258105;54.547400582
